"ntree" "mtry" "region" "year" "accuracy"
"800" "10" "1" "2010" "0.9291"
"100" "20" "1" "2010" "0.9285"
"200" "20" "1" "2010" "0.9359"
"400" "20" "1" "2010" "0.9319"
"800" "20" "1" "2010" "0.9401"
"100" "40" "1" "2010" "0.9377"
"200" "40" "1" "2010" "0.9326"
"400" "40" "1" "2010" "0.9412"
"800" "40" "1" "2010" "0.9369"
"100" "5" "1" "2011" "0.9355"
"200" "5" "1" "2011" "0.929"
"400" "5" "1" "2011" "0.9342"
"800" "5" "1" "2011" "0.9376"
"100" "10" "1" "2011" "0.9365"
"200" "10" "1" "2011" "0.9406"
"400" "10" "1" "2011" "0.9336"
"800" "10" "1" "2011" "0.9308"
"100" "20" "1" "2011" "0.9455"
"200" "20" "1" "2011" "0.9257"
"400" "20" "1" "2011" "0.9296"
"800" "20" "1" "2011" "0.9325"
"100" "40" "1" "2011" "0.9482"
"200" "40" "1" "2011" "0.9456"
"400" "40" "1" "2011" "0.935"
"800" "40" "1" "2011" "0.9424"
"100" "5" "1" "2012" "0.9141"
"200" "5" "1" "2012" "0.9166"
"400" "5" "1" "2012" "0.9227"
"800" "5" "1" "2012" "0.9291"
"100" "10" "1" "2012" "0.9259"
"200" "10" "1" "2012" "0.9214"
"400" "10" "1" "2012" "0.9378"
"800" "10" "1" "2012" "0.9206"
"100" "20" "1" "2012" "0.932"
"200" "20" "1" "2012" "0.9317"
"400" "20" "1" "2012" "0.9326"
"800" "20" "1" "2012" "0.925"
"100" "40" "1" "2012" "0.9357"
"200" "40" "1" "2012" "0.9284"
"400" "40" "1" "2012" "0.9284"
"800" "40" "1" "2012" "0.9378"
"100" "5" "1" "2013" "0.9343"
"200" "5" "1" "2013" "0.9362"
"400" "5" "1" "2013" "0.9473"
"800" "5" "1" "2013" "0.933"
"100" "10" "1" "2013" "0.9489"
"200" "10" "1" "2013" "0.9467"
"400" "10" "1" "2013" "0.946"
"800" "10" "1" "2013" "0.9405"
"100" "20" "1" "2013" "0.9397"
"200" "20" "1" "2013" "0.9349"
"400" "20" "1" "2013" "0.9443"
"800" "20" "1" "2013" "0.9356"
"100" "40" "1" "2013" "0.9433"
"200" "40" "1" "2013" "0.952"
"400" "40" "1" "2013" "0.9404"
"800" "40" "1" "2013" "0.941"
"100" "5" "1" "2014" "0.9418"
"200" "5" "1" "2014" "0.9498"
"400" "5" "1" "2014" "0.9403"
"800" "5" "1" "2014" "0.9442"
"100" "10" "1" "2014" "0.9543"
"200" "10" "1" "2014" "0.9431"
"400" "10" "1" "2014" "0.9438"
"800" "10" "1" "2014" "0.9464"
"100" "20" "1" "2014" "0.9469"
"200" "20" "1" "2014" "0.9496"
"400" "20" "1" "2014" "0.945"
"800" "20" "1" "2014" "0.9437"
"100" "40" "1" "2014" "0.944"
"200" "40" "1" "2014" "0.9504"
"400" "40" "1" "2014" "0.9539"
"800" "40" "1" "2014" "0.9422"
"100" "5" "1" "2015" "0.9302"
"200" "5" "1" "2015" "0.932"
"400" "5" "1" "2015" "0.9362"
"800" "5" "1" "2015" "0.9447"
"100" "10" "1" "2015" "0.939"
"200" "10" "1" "2015" "0.9497"
"400" "10" "1" "2015" "0.933"
"800" "10" "1" "2015" "0.939"
"100" "20" "1" "2015" "0.9379"
"200" "20" "1" "2015" "0.9392"
"400" "20" "1" "2015" "0.9473"
"800" "20" "1" "2015" "0.9501"
"100" "40" "1" "2015" "0.9443"
"200" "40" "1" "2015" "0.9425"
"400" "40" "1" "2015" "0.9413"
