"","Prediction","Reference","Freq","region","year","file"
"229","21","4",27,8,1985,"mapbiomas_collection70_integration_v2"
"230","25","4",0,8,1985,"mapbiomas_collection70_integration_v2"
"231","33","4",0,8,1985,"mapbiomas_collection70_integration_v2"
"232","3","12",3,8,1985,"mapbiomas_collection70_integration_v2"
"233","4","12",66,8,1985,"mapbiomas_collection70_integration_v2"
"234","12","12",103,8,1985,"mapbiomas_collection70_integration_v2"
"235","21","12",13,8,1985,"mapbiomas_collection70_integration_v2"
"236","25","12",0,8,1985,"mapbiomas_collection70_integration_v2"
"237","33","12",0,8,1985,"mapbiomas_collection70_integration_v2"
"238","3","21",3,8,1985,"mapbiomas_collection70_integration_v2"
"239","4","21",11,8,1985,"mapbiomas_collection70_integration_v2"
"240","12","21",5,8,1985,"mapbiomas_collection70_integration_v2"
"241","21","21",18,8,1985,"mapbiomas_collection70_integration_v2"
"242","25","21",0,8,1985,"mapbiomas_collection70_integration_v2"
"243","33","21",0,8,1985,"mapbiomas_collection70_integration_v2"
"244","3","25",0,8,1985,"mapbiomas_collection70_integration_v2"
"245","4","25",0,8,1985,"mapbiomas_collection70_integration_v2"
"246","12","25",0,8,1985,"mapbiomas_collection70_integration_v2"
"247","21","25",1,8,1985,"mapbiomas_collection70_integration_v2"
"248","25","25",0,8,1985,"mapbiomas_collection70_integration_v2"
"249","33","25",0,8,1985,"mapbiomas_collection70_integration_v2"
"250","3","33",0,8,1985,"mapbiomas_collection70_integration_v2"
"251","4","33",0,8,1985,"mapbiomas_collection70_integration_v2"
"252","12","33",0,8,1985,"mapbiomas_collection70_integration_v2"
"253","21","33",0,8,1985,"mapbiomas_collection70_integration_v2"
"254","25","33",0,8,1985,"mapbiomas_collection70_integration_v2"
"255","33","33",1,8,1985,"mapbiomas_collection70_integration_v2"
"256","3","3",219,9,1985,"mapbiomas_collection70_integration_v2"
"257","4","3",12,9,1985,"mapbiomas_collection70_integration_v2"
"258","12","3",0,9,1985,"mapbiomas_collection70_integration_v2"
"259","21","3",3,9,1985,"mapbiomas_collection70_integration_v2"
"260","25","3",0,9,1985,"mapbiomas_collection70_integration_v2"
"261","33","3",0,9,1985,"mapbiomas_collection70_integration_v2"
"262","3","4",77,9,1985,"mapbiomas_collection70_integration_v2"
"263","4","4",159,9,1985,"mapbiomas_collection70_integration_v2"
"264","12","4",61,9,1985,"mapbiomas_collection70_integration_v2"
"265","21","4",21,9,1985,"mapbiomas_collection70_integration_v2"
"266","25","4",0,9,1985,"mapbiomas_collection70_integration_v2"
"267","33","4",0,9,1985,"mapbiomas_collection70_integration_v2"
"268","3","12",7,9,1985,"mapbiomas_collection70_integration_v2"
"269","4","12",17,9,1985,"mapbiomas_collection70_integration_v2"
"270","12","12",300,9,1985,"mapbiomas_collection70_integration_v2"
"271","21","12",6,9,1985,"mapbiomas_collection70_integration_v2"
"272","25","12",0,9,1985,"mapbiomas_collection70_integration_v2"
"273","33","12",0,9,1985,"mapbiomas_collection70_integration_v2"
"274","3","21",1,9,1985,"mapbiomas_collection70_integration_v2"
"275","4","21",9,9,1985,"mapbiomas_collection70_integration_v2"
"276","12","21",14,9,1985,"mapbiomas_collection70_integration_v2"
"277","21","21",76,9,1985,"mapbiomas_collection70_integration_v2"
"278","25","21",0,9,1985,"mapbiomas_collection70_integration_v2"
"279","33","21",0,9,1985,"mapbiomas_collection70_integration_v2"
"280","3","25",0,9,1985,"mapbiomas_collection70_integration_v2"
"281","4","25",0,9,1985,"mapbiomas_collection70_integration_v2"
"282","12","25",0,9,1985,"mapbiomas_collection70_integration_v2"
"283","21","25",9,9,1985,"mapbiomas_collection70_integration_v2"
"284","25","25",0,9,1985,"mapbiomas_collection70_integration_v2"
"285","33","25",0,9,1985,"mapbiomas_collection70_integration_v2"
"286","3","33",4,9,1985,"mapbiomas_collection70_integration_v2"
"287","4","33",0,9,1985,"mapbiomas_collection70_integration_v2"
"288","12","33",2,9,1985,"mapbiomas_collection70_integration_v2"
"289","21","33",0,9,1985,"mapbiomas_collection70_integration_v2"
"290","25","33",0,9,1985,"mapbiomas_collection70_integration_v2"
"291","33","33",17,9,1985,"mapbiomas_collection70_integration_v2"
"292","3","3",268,10,1985,"mapbiomas_collection70_integration_v2"
"293","4","3",12,10,1985,"mapbiomas_collection70_integration_v2"
"294","12","3",0,10,1985,"mapbiomas_collection70_integration_v2"
"295","21","3",6,10,1985,"mapbiomas_collection70_integration_v2"
"296","25","3",0,10,1985,"mapbiomas_collection70_integration_v2"
"297","33","3",0,10,1985,"mapbiomas_collection70_integration_v2"
"298","3","4",145,10,1985,"mapbiomas_collection70_integration_v2"
"299","4","4",287,10,1985,"mapbiomas_collection70_integration_v2"
"300","12","4",33,10,1985,"mapbiomas_collection70_integration_v2"
"301","21","4",80,10,1985,"mapbiomas_collection70_integration_v2"
"302","25","4",0,10,1985,"mapbiomas_collection70_integration_v2"
"303","33","4",0,10,1985,"mapbiomas_collection70_integration_v2"
"304","3","12",4,10,1985,"mapbiomas_collection70_integration_v2"
"305","4","12",3,10,1985,"mapbiomas_collection70_integration_v2"
"306","12","12",27,10,1985,"mapbiomas_collection70_integration_v2"
"307","21","12",22,10,1985,"mapbiomas_collection70_integration_v2"
"308","25","12",0,10,1985,"mapbiomas_collection70_integration_v2"
"309","33","12",0,10,1985,"mapbiomas_collection70_integration_v2"
"310","3","21",35,10,1985,"mapbiomas_collection70_integration_v2"
"311","4","21",61,10,1985,"mapbiomas_collection70_integration_v2"
"312","12","21",19,10,1985,"mapbiomas_collection70_integration_v2"
"313","21","21",396,10,1985,"mapbiomas_collection70_integration_v2"
"314","25","21",0,10,1985,"mapbiomas_collection70_integration_v2"
"315","33","21",0,10,1985,"mapbiomas_collection70_integration_v2"
"316","3","25",0,10,1985,"mapbiomas_collection70_integration_v2"
"317","4","25",2,10,1985,"mapbiomas_collection70_integration_v2"
"318","12","25",0,10,1985,"mapbiomas_collection70_integration_v2"
"319","21","25",12,10,1985,"mapbiomas_collection70_integration_v2"
"320","25","25",0,10,1985,"mapbiomas_collection70_integration_v2"
"321","33","25",0,10,1985,"mapbiomas_collection70_integration_v2"
"322","3","33",2,10,1985,"mapbiomas_collection70_integration_v2"
"323","4","33",0,10,1985,"mapbiomas_collection70_integration_v2"
"324","12","33",2,10,1985,"mapbiomas_collection70_integration_v2"
"325","21","33",0,10,1985,"mapbiomas_collection70_integration_v2"
"326","25","33",0,10,1985,"mapbiomas_collection70_integration_v2"
"327","33","33",15,10,1985,"mapbiomas_collection70_integration_v2"
"328","3","3",13,11,1985,"mapbiomas_collection70_integration_v2"
"329","4","3",5,11,1985,"mapbiomas_collection70_integration_v2"
"330","12","3",0,11,1985,"mapbiomas_collection70_integration_v2"
"331","21","3",0,11,1985,"mapbiomas_collection70_integration_v2"
"332","25","3",0,11,1985,"mapbiomas_collection70_integration_v2"
"333","33","3",0,11,1985,"mapbiomas_collection70_integration_v2"
"334","3","4",23,11,1985,"mapbiomas_collection70_integration_v2"
"335","4","4",87,11,1985,"mapbiomas_collection70_integration_v2"
