"","value","variable","region","year","file"
"Class: 312",0.848956626242762,"Class: 3",12,1985,"mapbiomas_collection70_integration_v2"
"Class: 411",0.708383031459641,"Class: 4",12,1985,"mapbiomas_collection70_integration_v2"
"Class: 1211",0.729632660483724,"Class: 12",12,1985,"mapbiomas_collection70_integration_v2"
"Class: 2111",0.786004263456535,"Class: 21",12,1985,"mapbiomas_collection70_integration_v2"
"Class: 2510",0.5,"Class: 25",12,1985,"mapbiomas_collection70_integration_v2"
"Class: 339",1,"Class: 33",12,1985,"mapbiomas_collection70_integration_v2"
"Accuracy12",0.706336939721793,"Accuracy",13,1985,"mapbiomas_collection70_integration_v2"
"Kappa12",0.316520163016585,"Kappa",13,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower12",0.669584930337627,"AccuracyLower",13,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper12",0.74119386137763,"AccuracyUpper",13,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull12",0.726429675425039,"AccuracyNull",13,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue12",0.882577811636538,"AccuracyPValue",13,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue12",NA,"McnemarPValue",13,1985,"mapbiomas_collection70_integration_v2"
"Class: 313",0.811615700593336,"Class: 3",13,1985,"mapbiomas_collection70_integration_v2"
"Class: 412",0.641248948190888,"Class: 4",13,1985,"mapbiomas_collection70_integration_v2"
"Class: 1212",0.63560804184374,"Class: 12",13,1985,"mapbiomas_collection70_integration_v2"
"Class: 2112",0.675691244239631,"Class: 21",13,1985,"mapbiomas_collection70_integration_v2"
"Class: 2511",0.5,"Class: 25",13,1985,"mapbiomas_collection70_integration_v2"
"Class: 3310",1,"Class: 33",13,1985,"mapbiomas_collection70_integration_v2"
"Accuracy13",0.690421455938697,"Accuracy",14,1985,"mapbiomas_collection70_integration_v2"
"Kappa13",0.434774218448475,"Kappa",14,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower13",0.664546619165413,"AccuracyLower",14,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper13",0.715435612993858,"AccuracyUpper",14,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull13",0.60536398467433,"AccuracyNull",14,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue13",1.05330713611493e-10,"AccuracyPValue",14,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue13",NA,"McnemarPValue",14,1985,"mapbiomas_collection70_integration_v2"
"Class: 314",0.828428114485108,"Class: 3",14,1985,"mapbiomas_collection70_integration_v2"
"Class: 413",0.693283765515546,"Class: 4",14,1985,"mapbiomas_collection70_integration_v2"
"Class: 1213",0.649338477790374,"Class: 12",14,1985,"mapbiomas_collection70_integration_v2"
