"","value","variable","region","year","file"
"Class: 3312",0.99812030075188,"Class: 33",15,1985,"mapbiomas_collection60_integration_v1"
"Accuracy15",0.626,"Accuracy",16,1985,"mapbiomas_collection60_integration_v1"
"Kappa15",0.469449362204367,"Kappa",16,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower15",0.581943123671525,"AccuracyLower",16,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper15",0.668557470982938,"AccuracyUpper",16,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull15",0.54,"AccuracyNull",16,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue15",6.17934185689946e-05,"AccuracyPValue",16,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue15",NA,"McnemarPValue",16,1985,"mapbiomas_collection60_integration_v1"
"Class: 316",0.879383250825083,"Class: 3",16,1985,"mapbiomas_collection60_integration_v1"
"Class: 415",0.706682769726248,"Class: 4",16,1985,"mapbiomas_collection60_integration_v1"
"Class: 1215",0.697916058607203,"Class: 12",16,1985,"mapbiomas_collection60_integration_v1"
"Class: 2115",0.766691122523844,"Class: 21",16,1985,"mapbiomas_collection60_integration_v1"
"Class: 3313",0.666666666666667,"Class: 33",16,1985,"mapbiomas_collection60_integration_v1"
"Accuracy16",0.632462686567164,"Accuracy",17,1985,"mapbiomas_collection60_integration_v1"
"Kappa16",0.495221932738963,"Kappa",17,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower16",0.590072175307378,"AccuracyLower",17,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper16",0.673383803044403,"AccuracyUpper",17,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull16",0.460820895522388,"AccuracyNull",17,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue16",1.04762600463261e-15,"AccuracyPValue",17,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue16",NA,"McnemarPValue",17,1985,"mapbiomas_collection60_integration_v1"
"Class: 317",0.85662177328844,"Class: 3",17,1985,"mapbiomas_collection60_integration_v1"
"Class: 416",0.653692055531429,"Class: 4",17,1985,"mapbiomas_collection60_integration_v1"
"Class: 1216",0.770687197034502,"Class: 12",17,1985,"mapbiomas_collection60_integration_v1"
"Class: 2116",0.846459948320413,"Class: 21",17,1985,"mapbiomas_collection60_integration_v1"
"Class: 2511",0.5,"Class: 25",17,1985,"mapbiomas_collection60_integration_v1"
"Class: 3314",1,"Class: 33",17,1985,"mapbiomas_collection60_integration_v1"
"Accuracy17",0.773794002607562,"Accuracy",18,1985,"mapbiomas_collection60_integration_v1"
"Kappa17",0.639067144747977,"Kappa",18,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower17",0.752018414735852,"AccuracyLower",18,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper17",0.794516249715183,"AccuracyUpper",18,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull17",0.520208604954368,"AccuracyNull",18,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue17",1.47252588337461e-93,"AccuracyPValue",18,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue17",NA,"McnemarPValue",18,1985,"mapbiomas_collection60_integration_v1"
"Class: 318",0.900011577857688,"Class: 3",18,1985,"mapbiomas_collection60_integration_v1"
"Class: 417",0.760822377983785,"Class: 4",18,1985,"mapbiomas_collection60_integration_v1"
"Class: 1217",0.706812424733192,"Class: 12",18,1985,"mapbiomas_collection60_integration_v1"
"Class: 2117",0.810488823384918,"Class: 21",18,1985,"mapbiomas_collection60_integration_v1"
"Class: 2512",0.5,"Class: 25",18,1985,"mapbiomas_collection60_integration_v1"
"Class: 3315",0.74967362924282,"Class: 33",18,1985,"mapbiomas_collection60_integration_v1"
"Accuracy18",0.691139240506329,"Accuracy",19,1985,"mapbiomas_collection60_integration_v1"
"Kappa18",0.552781773467589,"Kappa",19,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower18",0.643000102181757,"AccuracyLower",19,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper18",0.736386343780711,"AccuracyUpper",19,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull18",0.407594936708861,"AccuracyNull",19,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue18",4.95433775880483e-30,"AccuracyPValue",19,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue18",NA,"McnemarPValue",19,1985,"mapbiomas_collection60_integration_v1"
"Class: 319",0.794967242406194,"Class: 3",19,1985,"mapbiomas_collection60_integration_v1"
"Class: 418",0.697302200374532,"Class: 4",19,1985,"mapbiomas_collection60_integration_v1"
"Class: 1218",0.656814959234314,"Class: 12",19,1985,"mapbiomas_collection60_integration_v1"
"Class: 2118",0.875351701438658,"Class: 21",19,1985,"mapbiomas_collection60_integration_v1"
"Class: 3316",0.748727735368957,"Class: 33",19,1985,"mapbiomas_collection60_integration_v1"
"Accuracy19",0.683098591549296,"Accuracy",20,1985,"mapbiomas_collection60_integration_v1"
"Kappa19",0.5281366278712,"Kappa",20,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower19",0.650676620132447,"AccuracyLower",20,1985,"mapbiomas_collection60_integration_v1"
