"","Prediction","Reference","Freq","region","year","file"
"247","3","3",235,9,1985,"CERRADO_col7_gapfill_v1"
"248","4","3",15,9,1985,"CERRADO_col7_gapfill_v1"
"249","12","3",4,9,1985,"CERRADO_col7_gapfill_v1"
"250","21","3",4,9,1985,"CERRADO_col7_gapfill_v1"
"251","25","3",0,9,1985,"CERRADO_col7_gapfill_v1"
"252","33","3",2,9,1985,"CERRADO_col7_gapfill_v1"
"253","3","4",63,9,1985,"CERRADO_col7_gapfill_v1"
"254","4","4",151,9,1985,"CERRADO_col7_gapfill_v1"
"255","12","4",45,9,1985,"CERRADO_col7_gapfill_v1"
"256","21","4",19,9,1985,"CERRADO_col7_gapfill_v1"
"257","25","4",0,9,1985,"CERRADO_col7_gapfill_v1"
"258","33","4",0,9,1985,"CERRADO_col7_gapfill_v1"
"259","3","12",5,9,1985,"CERRADO_col7_gapfill_v1"
"260","4","12",22,9,1985,"CERRADO_col7_gapfill_v1"
"261","12","12",311,9,1985,"CERRADO_col7_gapfill_v1"
"262","21","12",9,9,1985,"CERRADO_col7_gapfill_v1"
"263","25","12",0,9,1985,"CERRADO_col7_gapfill_v1"
"264","33","12",3,9,1985,"CERRADO_col7_gapfill_v1"
"265","3","21",4,9,1985,"CERRADO_col7_gapfill_v1"
"266","4","21",9,9,1985,"CERRADO_col7_gapfill_v1"
"267","12","21",16,9,1985,"CERRADO_col7_gapfill_v1"
"268","21","21",72,9,1985,"CERRADO_col7_gapfill_v1"
"269","25","21",0,9,1985,"CERRADO_col7_gapfill_v1"
"270","33","21",0,9,1985,"CERRADO_col7_gapfill_v1"
"271","3","25",0,9,1985,"CERRADO_col7_gapfill_v1"
"272","4","25",0,9,1985,"CERRADO_col7_gapfill_v1"
"273","12","25",0,9,1985,"CERRADO_col7_gapfill_v1"
"274","21","25",11,9,1985,"CERRADO_col7_gapfill_v1"
"275","25","25",0,9,1985,"CERRADO_col7_gapfill_v1"
"276","33","25",0,9,1985,"CERRADO_col7_gapfill_v1"
"277","3","33",1,9,1985,"CERRADO_col7_gapfill_v1"
"278","4","33",0,9,1985,"CERRADO_col7_gapfill_v1"
"279","12","33",1,9,1985,"CERRADO_col7_gapfill_v1"
"280","21","33",0,9,1985,"CERRADO_col7_gapfill_v1"
"281","25","33",0,9,1985,"CERRADO_col7_gapfill_v1"
"282","33","33",12,9,1985,"CERRADO_col7_gapfill_v1"
"283","3","3",260,10,1985,"CERRADO_col7_gapfill_v1"
"284","4","3",22,10,1985,"CERRADO_col7_gapfill_v1"
"285","12","3",0,10,1985,"CERRADO_col7_gapfill_v1"
"286","21","3",9,10,1985,"CERRADO_col7_gapfill_v1"
"287","25","3",0,10,1985,"CERRADO_col7_gapfill_v1"
"288","33","3",1,10,1985,"CERRADO_col7_gapfill_v1"
"289","3","4",148,10,1985,"CERRADO_col7_gapfill_v1"
"290","4","4",274,10,1985,"CERRADO_col7_gapfill_v1"
"291","12","4",27,10,1985,"CERRADO_col7_gapfill_v1"
"292","21","4",79,10,1985,"CERRADO_col7_gapfill_v1"
"293","25","4",0,10,1985,"CERRADO_col7_gapfill_v1"
"294","33","4",1,10,1985,"CERRADO_col7_gapfill_v1"
"295","3","12",6,10,1985,"CERRADO_col7_gapfill_v1"
"296","4","12",11,10,1985,"CERRADO_col7_gapfill_v1"
"297","12","12",35,10,1985,"CERRADO_col7_gapfill_v1"
"298","21","12",30,10,1985,"CERRADO_col7_gapfill_v1"
"299","25","12",0,10,1985,"CERRADO_col7_gapfill_v1"
"300","33","12",2,10,1985,"CERRADO_col7_gapfill_v1"
"301","3","21",39,10,1985,"CERRADO_col7_gapfill_v1"
"302","4","21",57,10,1985,"CERRADO_col7_gapfill_v1"
"303","12","21",18,10,1985,"CERRADO_col7_gapfill_v1"
"304","21","21",382,10,1985,"CERRADO_col7_gapfill_v1"
"305","25","21",0,10,1985,"CERRADO_col7_gapfill_v1"
"306","33","21",0,10,1985,"CERRADO_col7_gapfill_v1"
"307","3","25",0,10,1985,"CERRADO_col7_gapfill_v1"
"308","4","25",1,10,1985,"CERRADO_col7_gapfill_v1"
"309","12","25",0,10,1985,"CERRADO_col7_gapfill_v1"
"310","21","25",16,10,1985,"CERRADO_col7_gapfill_v1"
"311","25","25",0,10,1985,"CERRADO_col7_gapfill_v1"
"312","33","25",0,10,1985,"CERRADO_col7_gapfill_v1"
"313","3","33",1,10,1985,"CERRADO_col7_gapfill_v1"
"314","4","33",0,10,1985,"CERRADO_col7_gapfill_v1"
"315","12","33",1,10,1985,"CERRADO_col7_gapfill_v1"
"316","21","33",0,10,1985,"CERRADO_col7_gapfill_v1"
"317","25","33",0,10,1985,"CERRADO_col7_gapfill_v1"
"318","33","33",11,10,1985,"CERRADO_col7_gapfill_v1"
"319","3","3",18,11,1985,"CERRADO_col7_gapfill_v1"
"320","4","3",6,11,1985,"CERRADO_col7_gapfill_v1"
"321","12","3",1,11,1985,"CERRADO_col7_gapfill_v1"
"322","21","3",0,11,1985,"CERRADO_col7_gapfill_v1"
"323","25","3",0,11,1985,"CERRADO_col7_gapfill_v1"
"324","33","3",0,11,1985,"CERRADO_col7_gapfill_v1"
"325","3","4",20,11,1985,"CERRADO_col7_gapfill_v1"
"326","4","4",79,11,1985,"CERRADO_col7_gapfill_v1"
"327","12","4",21,11,1985,"CERRADO_col7_gapfill_v1"
"328","21","4",17,11,1985,"CERRADO_col7_gapfill_v1"
"329","25","4",0,11,1985,"CERRADO_col7_gapfill_v1"
"330","33","4",1,11,1985,"CERRADO_col7_gapfill_v1"
"331","3","12",0,11,1985,"CERRADO_col7_gapfill_v1"
"332","4","12",36,11,1985,"CERRADO_col7_gapfill_v1"
"333","12","12",40,11,1985,"CERRADO_col7_gapfill_v1"
"334","21","12",14,11,1985,"CERRADO_col7_gapfill_v1"
"335","25","12",0,11,1985,"CERRADO_col7_gapfill_v1"
"336","33","12",0,11,1985,"CERRADO_col7_gapfill_v1"
"337","3","21",4,11,1985,"CERRADO_col7_gapfill_v1"
"338","4","21",29,11,1985,"CERRADO_col7_gapfill_v1"
"339","12","21",12,11,1985,"CERRADO_col7_gapfill_v1"
"340","21","21",46,11,1985,"CERRADO_col7_gapfill_v1"
"341","25","21",0,11,1985,"CERRADO_col7_gapfill_v1"
"342","33","21",0,11,1985,"CERRADO_col7_gapfill_v1"
"343","3","25",0,11,1985,"CERRADO_col7_gapfill_v1"
"344","4","25",1,11,1985,"CERRADO_col7_gapfill_v1"
"345","12","25",0,11,1985,"CERRADO_col7_gapfill_v1"
"346","21","25",4,11,1985,"CERRADO_col7_gapfill_v1"
"347","25","25",0,11,1985,"CERRADO_col7_gapfill_v1"
"348","33","25",0,11,1985,"CERRADO_col7_gapfill_v1"
"349","3","33",0,11,1985,"CERRADO_col7_gapfill_v1"
"350","4","33",0,11,1985,"CERRADO_col7_gapfill_v1"
"351","12","33",0,11,1985,"CERRADO_col7_gapfill_v1"
"352","21","33",0,11,1985,"CERRADO_col7_gapfill_v1"
"353","25","33",0,11,1985,"CERRADO_col7_gapfill_v1"
"354","33","33",1,11,1985,"CERRADO_col7_gapfill_v1"
"355","3","3",88,12,1985,"CERRADO_col7_gapfill_v1"
"356","4","3",25,12,1985,"CERRADO_col7_gapfill_v1"
"357","12","3",1,12,1985,"CERRADO_col7_gapfill_v1"
"358","21","3",9,12,1985,"CERRADO_col7_gapfill_v1"
"359","25","3",0,12,1985,"CERRADO_col7_gapfill_v1"
"360","33","3",0,12,1985,"CERRADO_col7_gapfill_v1"
"361","3","4",84,12,1985,"CERRADO_col7_gapfill_v1"
"362","4","4",330,12,1985,"CERRADO_col7_gapfill_v1"
"363","12","4",52,12,1985,"CERRADO_col7_gapfill_v1"
"364","21","4",66,12,1985,"CERRADO_col7_gapfill_v1"
"365","25","4",0,12,1985,"CERRADO_col7_gapfill_v1"
"366","33","4",0,12,1985,"CERRADO_col7_gapfill_v1"
"367","3","12",0,12,1985,"CERRADO_col7_gapfill_v1"
"368","4","12",13,12,1985,"CERRADO_col7_gapfill_v1"
"369","12","12",13,12,1985,"CERRADO_col7_gapfill_v1"
"370","21","12",10,12,1985,"CERRADO_col7_gapfill_v1"
"371","25","12",0,12,1985,"CERRADO_col7_gapfill_v1"
"372","33","12",1,12,1985,"CERRADO_col7_gapfill_v1"
"373","3","21",7,12,1985,"CERRADO_col7_gapfill_v1"
"374","4","21",36,12,1985,"CERRADO_col7_gapfill_v1"
"375","12","21",15,12,1985,"CERRADO_col7_gapfill_v1"
"376","21","21",110,12,1985,"CERRADO_col7_gapfill_v1"
"377","25","21",0,12,1985,"CERRADO_col7_gapfill_v1"
"378","33","21",0,12,1985,"CERRADO_col7_gapfill_v1"
"379","3","25",1,12,1985,"CERRADO_col7_gapfill_v1"
"380","4","25",2,12,1985,"CERRADO_col7_gapfill_v1"
"381","12","25",0,12,1985,"CERRADO_col7_gapfill_v1"
"382","21","25",8,12,1985,"CERRADO_col7_gapfill_v1"
"383","25","25",0,12,1985,"CERRADO_col7_gapfill_v1"
"384","33","25",0,12,1985,"CERRADO_col7_gapfill_v1"
"385","3","33",0,12,1985,"CERRADO_col7_gapfill_v1"
"386","4","33",0,12,1985,"CERRADO_col7_gapfill_v1"
"387","12","33",0,12,1985,"CERRADO_col7_gapfill_v1"
"388","21","33",0,12,1985,"CERRADO_col7_gapfill_v1"
"389","25","33",0,12,1985,"CERRADO_col7_gapfill_v1"
"390","33","33",1,12,1985,"CERRADO_col7_gapfill_v1"
"391","3","3",14,13,1985,"CERRADO_col7_gapfill_v1"
"392","4","3",13,13,1985,"CERRADO_col7_gapfill_v1"
"393","12","3",0,13,1985,"CERRADO_col7_gapfill_v1"
"394","21","3",0,13,1985,"CERRADO_col7_gapfill_v1"
"395","25","3",0,13,1985,"CERRADO_col7_gapfill_v1"
"396","33","3",0,13,1985,"CERRADO_col7_gapfill_v1"
"397","3","4",57,13,1985,"CERRADO_col7_gapfill_v1"
"398","4","4",374,13,1985,"CERRADO_col7_gapfill_v1"
"399","12","4",10,13,1985,"CERRADO_col7_gapfill_v1"
"400","21","4",7,13,1985,"CERRADO_col7_gapfill_v1"
"401","25","4",0,13,1985,"CERRADO_col7_gapfill_v1"
"402","33","4",0,13,1985,"CERRADO_col7_gapfill_v1"
"403","3","12",1,13,1985,"CERRADO_col7_gapfill_v1"
"404","4","12",84,13,1985,"CERRADO_col7_gapfill_v1"
"405","12","12",35,13,1985,"CERRADO_col7_gapfill_v1"
"406","21","12",4,13,1985,"CERRADO_col7_gapfill_v1"
"407","25","12",0,13,1985,"CERRADO_col7_gapfill_v1"
"408","33","12",2,13,1985,"CERRADO_col7_gapfill_v1"
"409","3","21",0,13,1985,"CERRADO_col7_gapfill_v1"
"410","4","21",19,13,1985,"CERRADO_col7_gapfill_v1"
"411","12","21",1,13,1985,"CERRADO_col7_gapfill_v1"
"412","21","21",15,13,1985,"CERRADO_col7_gapfill_v1"
"413","25","21",0,13,1985,"CERRADO_col7_gapfill_v1"
"414","33","21",0,13,1985,"CERRADO_col7_gapfill_v1"
"415","3","25",0,13,1985,"CERRADO_col7_gapfill_v1"
"416","4","25",1,13,1985,"CERRADO_col7_gapfill_v1"
"417","12","25",1,13,1985,"CERRADO_col7_gapfill_v1"
"418","21","25",8,13,1985,"CERRADO_col7_gapfill_v1"
"419","25","25",0,13,1985,"CERRADO_col7_gapfill_v1"
"420","33","25",0,13,1985,"CERRADO_col7_gapfill_v1"
"421","3","33",0,13,1985,"CERRADO_col7_gapfill_v1"
