"","Prediction","Reference","Freq","region","year","file"
"188","3","21",21,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"189","4","21",10,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"190","12","21",0,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"191","21","21",72,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"192","25","21",0,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"193","33","21",0,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"194","3","25",0,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"195","4","25",2,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"196","12","25",0,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"197","21","25",2,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"198","25","25",0,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"199","33","25",0,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"200","3","33",0,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"201","4","33",0,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"202","12","33",0,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"203","21","33",0,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"204","25","33",0,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"205","33","33",4,6,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"206","3","3",44,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"207","4","3",28,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"208","12","3",0,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"209","21","3",1,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"210","25","3",0,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"211","3","4",46,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"212","4","4",652,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"213","12","4",11,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"214","21","4",9,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"215","25","4",0,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"216","3","12",2,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"217","4","12",63,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"218","12","12",4,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"219","21","12",17,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"220","25","12",0,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"221","3","21",2,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"222","4","21",17,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"223","12","21",0,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"224","21","21",5,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"225","25","21",0,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"226","3","25",0,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
