system:index,area,class_id,territory,year,.geo
4_0_14,1010.35871657105,30,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_15,40.359952703857296,31,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_16,8134.573493792754,32,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_17,383592.6573548861,33,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_18,1698605.482115496,39,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_19,15180.731200396773,40,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_20,505722.9238756626,41,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_21,13739.11925505979,46,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_22,4917.413708416728,48,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_23,17308.706470703004,62,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_0,35.32282549438477,0,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_1,1.0804228382415624E7,3,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_2,3.2324607256022613E7,4,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_3,65605.4342931579,5,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_4,23784.337544879116,9,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_5,2017696.1696538124,11,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_6,6279668.094069141,12,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_7,6406148.571728866,15,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_8,9513.254194286976,20,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_9,1744217.5646813158,21,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_10,106070.19897989366,23,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_11,88998.08656214639,24,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_12,230577.6049068714,25,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_13,18276.426757183657,29,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_14,1046.8376208618217,30,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_15,35.448875286865196,31,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_16,8158.240456030298,32,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_17,379321.1682537991,33,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_18,1943153.795262609,39,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_19,28539.631024322753,40,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_20,479594.6338409229,41,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_21,14273.767362847864,46,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_22,4151.542900823963,48,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0_23,22969.908585656958,62,1,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_0,40.679871697998045,0,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_1,1.071883961373537E7,3,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_2,3.206535517571045E7,4,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_3,65906.96657536596,5,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_4,24675.213571356187,9,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_5,2015821.7477386852,11,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_6,6218319.818101211,12,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_7,6706049.805800035,15,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_8,13253.19138546049,20,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_9,1610944.8048220908,21,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_10,105810.50271156257,23,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_11,90758.00024358551,24,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_12,219083.79449441435,25,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_13,18274.054424938793,29,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_14,1056.3345435119684,30,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_15,33.752303771972585,31,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_16,8184.402487792996,32,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_17,395564.67233299784,33,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0_18,2137888.4520961614,39,1,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
