system:index,area,class_id,territory,year,.geo
0_11_4,8.728775024414063E-4,219,12,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_5,1.7104951588745119,1212,12,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_6,5.856763568176268,1213,12,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_7,7.96660461401368,1214,12,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_8,30.697107641357455,2223,12,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_9,67.80275300726423,2224,12,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_10,38.67629976538087,2234,12,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_11,2.786809224609377,13123,12,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_12,6.561340715576161,13124,12,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_13,182.93351122577135,13134,12,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_14,54.48066889361663,23234,12,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_15,89.70688854589876,141234,12,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_0,459.9065929460419,211,13,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_1,324.4297193983145,212,13,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_2,200.02804293414317,213,13,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_3,132.63018408746333,214,13,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_4,0.001726243408203125,219,13,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_5,69.09082400451659,1212,13,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_6,192.6902691895144,1213,13,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_7,87.55619055670162,1214,13,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_8,20.714575513122558,2223,13,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_9,143.95745872821047,2224,13,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_10,27.866266860656747,2234,13,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_11,56.118779523376425,13123,13,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_12,166.568280845215,13124,13,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_13,283.4409652277844,13134,13,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_14,37.06826034405515,23234,13,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_15,2032.573812157218,141234,13,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_0,321.2664531008303,211,14,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_1,531.7711662275996,212,14,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_2,814.8662705315616,213,14,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_3,578.2800722448751,214,14,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_4,8.57536376953125E-4,219,14,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_5,53.824809996276876,1212,14,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_6,155.24824910656753,1213,14,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_7,62.668457893188496,1214,14,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_8,114.58990432104495,2223,14,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_9,228.73873074810734,2224,14,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_10,128.60045065136708,2234,14,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_11,94.54536636968993,13123,14,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_12,126.33149344940175,13124,14,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_13,280.13533104589874,13134,14,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_14,162.2132186544801,23234,14,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_15,1792.6330428842175,141234,14,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_0,477.64041024395516,211,15,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_1,189.4311215397338,212,15,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_2,243.3708397014759,213,15,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_3,387.5802374969488,214,15,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_4,9.211512173645028,219,15,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_5,195.26939460125675,1212,15,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_6,216.33203190997284,1213,15,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_7,106.79871542907696,1214,15,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_8,83.85882795208701,2223,15,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_9,76.12859017468259,2224,15,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_10,36.48974088482669,2234,15,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_11,610.5037291951326,13123,15,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_12,176.85383762884538,13124,15,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_13,170.16307840954582,13134,15,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_14,36.04642538189694,23234,15,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_15,1408.154283973641,141234,15,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_0,477.84708375756816,211,16,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_1,270.404122781555,212,16,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_2,605.4983845174592,213,16,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_3,497.1605657070917,214,16,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_4,1.7405736901245117,219,16,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_5,88.03263262603754,1212,16,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_6,325.8295536812135,1213,16,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_7,165.39752651184133,1214,16,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_8,48.26794606878665,2223,16,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_9,178.429628948181,2224,16,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_10,82.63337012707514,2234,16,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_11,214.30031824658255,13123,16,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_12,140.11643149902355,13124,16,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_13,402.6215980727535,13134,16,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_14,58.20786637420654,23234,16,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_15,754.0408333588894,141234,16,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_0,944.6076325448681,211,17,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_1,957.0968173372848,212,17,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_2,344.3514509141845,213,17,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_3,1089.2143816471007,214,17,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_4,0.24671040997314447,219,17,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_5,279.86746599395747,1212,17,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_6,277.2829505493772,1213,17,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_7,258.2605355468139,1214,17,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_8,69.65370411102296,2223,17,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_9,484.08560925030736,2224,17,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_10,130.69735882592786,2234,17,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_11,313.38772184713696,13123,17,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_12,417.8553689303583,13124,17,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_13,339.2391585912474,13134,17,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_14,165.2437736260377,23234,17,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_15,1992.8505428230683,141234,17,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_0,189.2790275703122,211,18,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_1,342.97791433551,212,18,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_2,381.2673841264642,213,18,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_3,463.5106427713014,214,18,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_4,0.006731841430664062,219,18,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_5,56.933869542236316,1212,18,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_6,157.97497603607187,1213,18,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_7,41.387075542053175,1214,18,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_8,53.90686934790045,2223,18,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_9,274.842031352295,2224,18,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_10,121.70833564385994,2234,18,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_11,124.37633521417207,13123,18,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_12,102.57919987860112,13124,18,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_13,132.54121944226083,13134,18,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
